region,union,gov,leg,rtw
alabama,11,r,r,y
arizona,6.1,r,r,y
arkansas,6.4,r,r,y
california,17.2,d,d,n
colorado,9.3,d,s,n
connecticut,17.4,d,d,n
delaware,10.4,d,d,n
florida,8.4,r,r,y
georgia,5.1,r,r,y
idaho,7.3,r,r,y
illinois,16,r,d,n
indiana,11.3,r,r,y
iowa,12.2,r,s,y
kansas,10.8,r,r,y
kentucky,12.1,r,s,n
louisiana,6.8,d,r,y
maine,13.6,r,s,n
maryland,12.2,r,d,n
massachusetts,14.2,r,d,n
michigan,16.5,r,r,y
minnesota,15,d,s,n
mississippi,6.8,r,r,y
missouri,9.8,d,r,n
montana,13.9,d,r,n
nebraska,9,r,r,y
nevada,16.5,r,r,y
new hampshire,11.4,d,r,n
new jersey,16.6,r,d,n
new mexico,7.9,r,s,n
new york,26,d,s,n
north carolina,4.1,r,r,y
north dakota,6.8,r,r,y
ohio,13.6,r,r,n
oklahoma,7.4,r,r,y
oregon,16.2,d,d,n
pennsylvania,14.4,d,r,n
rhode island,14.9,d,d,n
south carolina,2.9,r,r,y
south dakota,6.9,r,r,n
tennessee,6.5,r,r,y
texas,5.6,r,r,y
utah,5.2,r,r,y
vermont,14.7,d,d,n
virginia,6.9,d,r,y
washington,18,d,s,n
west virginia,13.7,d,r,y
wisconsin,9.4,r,r,n
wyoming,8.2,r,r,y
